10_tys;losowa;quickSortC;0
10_tys;losowa;quickSortRecurPrawy;0
10_tys;rosnaca;quickSortC;0
10_tys;rosnaca;quickSortRecurPrawy;235
10_tys;malejaca;quickSortC;0
10_tys;malejaca;quickSortRecurPrawy;219
10_tys;stala;quickSortC;0
10_tys;stala;quickSortRecurPrawy;0
10_tys;aksztal;quickSortC;0
10_tys;aksztal;quickSortRecurPrawy;0
20_tys;losowa;quickSortC;0
20_tys;losowa;quickSortRecurPrawy;15
20_tys;rosnaca;quickSortC;0
20_tys;rosnaca;quickSortRecurPrawy;875
20_tys;malejaca;quickSortC;0
20_tys;malejaca;quickSortRecurPrawy;875
20_tys;stala;quickSortC;0
20_tys;stala;quickSortRecurPrawy;0
20_tys;aksztal;quickSortC;16
20_tys;aksztal;quickSortRecurPrawy;0
40_tys;losowa;quickSortC;0
40_tys;losowa;quickSortRecurPrawy;0
40_tys;rosnaca;quickSortC;0
40_tys;rosnaca;quickSortRecurPrawy;3532
40_tys;malejaca;quickSortC;15
40_tys;malejaca;quickSortRecurPrawy;3485
40_tys;stala;quickSortC;0
40_tys;stala;quickSortRecurPrawy;15
40_tys;aksztal;quickSortC;16
40_tys;aksztal;quickSortRecurPrawy;16
80_tys;losowa;quickSortC;0
80_tys;losowa;quickSortRecurPrawy;15
80_tys;rosnaca;quickSortC;16
80_tys;rosnaca;quickSortRecurPrawy;14094
80_tys;malejaca;quickSortC;15
80_tys;malejaca;quickSortRecurPrawy;13828
80_tys;stala;quickSortC;0
80_tys;stala;quickSortRecurPrawy;16
80_tys;aksztal;quickSortC;31
80_tys;aksztal;quickSortRecurPrawy;47
160_tys;losowa;quickSortC;0
160_tys;losowa;quickSortRecurPrawy;31
160_tys;rosnaca;quickSortC;32
160_tys;rosnaca;quickSortRecurPrawy;56375
160_tys;malejaca;quickSortC;31
160_tys;malejaca;quickSortRecurPrawy;56031
160_tys;stala;quickSortC;0
160_tys;stala;quickSortRecurPrawy;31
160_tys;aksztal;quickSortC;94
160_tys;aksztal;quickSortRecurPrawy;78
320_tys;losowa;quickSortC;16
320_tys;losowa;quickSortRecurPrawy;62
320_tys;rosnaca;quickSortC;47
